Id	Name	RA	Dec	GL	GB	Mag burst	Mag qui	dis	flux_xray	period
15	GS2023+338,V404Cyg	20:24:03.82	+33:52:01.90	073.1187114	-02.09132512	R∼10.7	R=16.58±0.01	2.39±0.14	2.59E-07	155.30803±5E-05
14	GS1734-275,GRO1735-27,KS1732-273	17:36:02.00	-27:25:41.00	000.1608028	02.59055981				1.20E-09	
13	GS2000+251,QZVul	20:02:49.48	+25:14:11.36	063.3663891	-02.99847575	V=16.4	R=21.3±0.2	2.7±0.7	3.46E-07	8.258095±0.000005
12	GS1354-64,BWCir	13:58:09.70	-64:44:05.80	309.9774112	-02.77987343	V=16.9	i'∼20.2	∼25	2.38E-09	61.068±0.002
11	EXO1846-031,	18:49:17.05	-03:03:55.26	029.9580344	-00.91793414	r>23	I>22.3	∼7	1.02E-08	
10	SLX1746-331,	17:49:48.96	-33:12:17.10	356.8092322	-02.97358081	Ks=18.78±0.06			1.37E-08	
9	H1705-250,NOph1977,V2107Oph	17:08:14.52	-25:05:30.15	358.5892354	09.05387073	B=16.3±0.5	R∼20.9±0.2	8.6±2.1	1.75E-08	12.51±0.03
8	H1743-322,XTEJ1746-322,IGRJ17464-3213	17:46:15.60	-32:14:00.86	357.2550371	-01.83291737	I=19.6	i'>24	∼10	4.62E-08	
7	3A0620-003,NMon1975,V616Mon	06:22:44.50	-00:20:44.72	209.9563081	-06.53987555	V∼11.1	V=18.23±0.04	1.06±0.1	2.65E-06	7.752340±2E-06
6	3A1524-617,KYTrA	15:28:16.93	-61:52:57.95	320.3188498	-04.4268531	B=17.3	I=21.61±0.09	8.0±0.9	4.66E-08	6.2±0.2
5	1H1659-487,GX339-4,V821Ara	17:02:49.40	-48:47:23.40	338.9390902	-04.32648295	I=13.6±0.1	r=19.9±0.1	>5	2.56E-08	42.21±0.01
4	4U1755-338,V4134Sgr	17:58:40.04	-33:48:26.80	357.2155210	-04.87236175	V∼18.5	V>21.96	6.5±2.5	1.17E-09	∼4.4
3	4U1543-475,ILLup	15:47:08.32	-47:40:10.80	330.9178710	05.42614694	V=14.9	V=16.7	7.5±0.5	9.42E-08	26.79377±0.00007
2	4U1630-472,NorX-1	16:34:01.61	-47:23:34.80	336.9112429	00.25029536	K(notAB)=16.1		4.7-11.5	2.65E-08	
1	CenX-2,	14:00:28.20	-64:47:35.60	310.2000982	-02.9001343				1.58E-07	
